"","Index","Angle","Antenna","Background","Code","GPSdate","GPStime","Strength","TowerID","TagID","AnimalID","uniqueID","longitude","latitude","X","Y","BadPoint","Var_X","Var_Y","Cov_XY","AngleDiff","Date","Time"
"51",0,246,2,0,"0.25,0.2,0.16","01_06_23","12:42:41",32,"TowerW13",476,"WF051806","WF051806-01_06_23-12",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"52",0,246,2,0,"0.25,0.2,0.16","01_06_23","13:45:43",31,"TowerW13",476,"WF051806","WF051806-01_06_23-13",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"53",0,246,2,0,"0.25,0.2,0.16","01_06_23","17:47:41",32,"TowerW13",476,"WF051806","WF051806-01_06_23-17",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"54",0,246,2,0,"0.25,0.2,0.16","01_06_23","19:06:59",32,"TowerW13",476,"WF051806","WF051806-01_06_23-19",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"55",6,246,2,0,"0.25,0.2,0.16","02_06_23","3:40:21",31,"TowerW13",476,"WF051806","WF051806-02_06_23-3",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"56",0,246,2,0,"0.25,0.2,0.16","02_06_23","13:57:51",31,"TowerW13",476,"WF051806","WF051806-02_06_23-13",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"57",0,246,2,0,"0.25,0.2,0.16","03_06_23","0:43:27",31,"TowerW13",476,"WF051806","WF051806-03_06_23-0",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"58",0,246,2,0,"0.25,0.2,0.16","03_06_23","4:57:27",32,"TowerW13",476,"WF051806","WF051806-03_06_23-4",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"59",0,246,2,0,"0.25,0.2,0.16","03_06_23","5:05:29",31,"TowerW13",476,"WF051806","WF051806-03_06_23-5",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"60",0,246,2,0,"0.25,0.2,0.16","03_06_23","5:14:06",31,"TowerW13",476,"WF051806","WF051806-03_06_23-5",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
